Batch,Section,Key,English,Placeholders,Context,Spanish (es)
1,Welcome,welcomeShawnTitle,A note from Shawn,,Title of the one-time founder welcome dialog on first Home visit.,
1,Welcome,welcomeShawnButton,I'm in,,Dismiss button on the founder welcome dialog.,
1,Planner,plannerSwimUnitMetres,Metres,,Swim distance entry option: enter raw metres.,
1,Planner,plannerSwimUnitPool25,25 m pool,,Swim distance entry option: count lengths of a 25-metre pool.,
1,Planner,plannerSwimUnitPool50,50 m pool,,Swim distance entry option: count lengths of a 50-metre pool.,
1,Planner,plannerSwimLapsUnit,laps,,Unit word shown on the swim distance field when entering pool lengths.,
1,Planner,plannerPaceLabel,Pace ({unit}),{unit},"Field label above the pace input; {unit} is e.g. min/km, min/mi, or min/100m.",
1,Planner,plannerSessionNotesHintOther,Session plan (optional),,Notes hint for an OTHER / unspecified session.,
1,Planner,plannerSessionOtherNameLabel,What is it?,,Label for the free-text name field shown when session type is Other.,
1,Planner,plannerSessionOtherNameHint,"e.g. Yoga, cycling, climbing",,Hint for the Other session name field.,
1,App,appTitle,Journey Forward,,Application name,
1,Nav,navHome,Home,,,
1,Nav,navProgress,Progress,,,
1,Nav,navToolkit,Toolkit,,,
1,Nav,navJournal,Journal,,,
1,Nav,navProfile,Profile,,,
1,Common,commonSave,Save,,,
1,Common,commonCancel,Cancel,,,
1,Common,commonContinue,Continue,,,
1,Common,commonBack,Back,,,
1,Common,commonNext,Next,,,
1,Common,commonRestore,Restore,,,
1,Common,commonClear,Clear,,,
1,Common,commonCopied,Copied to clipboard,,,
1,Common,commonMinutes,{count} minutes,{count},,
1,Common,commonMin,{count} min,{count},,
1,Lock,lockAppName,Journey Forward,,,
1,Lock,lockAuthenticateSubtitle,Authenticate to continue,,,
1,Lock,lockTapToAuthenticate,Tap to authenticate,,,
1,Lock,lockEnterYourPin,Enter your PIN,,,
1,Lock,lockUsePinInstead,Use PIN instead,,,
1,Lock,lockIncorrectPin,Incorrect PIN. Try again.,,,
1,Lock,lockBiometricsNotAvailable,Biometrics not available on this device.,,,
1,Lock,lockAuthCancelled,Authentication cancelled.,,,
1,Lock,lockUnlockReason,Unlock Journey Forward,,,
1,Lock,lockTooManyAttempts,Too many attempts. Try again later.,,,
1,Lock,lockPermanentlyLockedOut,Biometrics locked. Restart your device.,,,
1,Lock,lockBiometricsUnavailable,Biometrics unavailable.,,,
1,Lock,lockAuthFailed,Authentication failed.,,,
1,Onb,onbStepIndicator,Step {step} of {total},"{step}, {total}",,
1,Onb,onbContinue,Continue,,,
1,Onb,onbBeginMyJourney,Begin my journey,,,
1,Onb,onbLetsBegin,Let's begin,,,
1,Onb,onbWelcomeTitle,"A new chapter
begins.",,,
1,Onb,onbPrivacy100OnDevice,100% on-device,,,
1,Onb,onbPrivacyNoAccount,No account needed,,,
1,Onb,onbPrivacyZeroTracking,Zero tracking,,,
1,Onb,onbNameHeadline,"What should
we call you?",,,
1,Onb,onbNameHint,Your name,,,
1,Onb,onbJourneyTitle,What are you stepping away from?,,,
1,Home,homeBackupNudgeAction,Back up,,,
1,Onb,onbNameError,Please enter your name.,,,
1,Onb,onbDateHeadline,"When did your
journey begin?",,,
1,Onb,onbDatePickerHelp,Choose your start date,,,
1,Onb,onbSoberSince,Sober since,,,
1,Onb,onbDaysOfCourage,{count} days of courage,{count},,
1,Onb,onbDaysOfCourageLabel,days of courage,,,
1,Onb,onbSpendHeadline,"What did
alcohol cost you?",,,
1,Onb,onbSpendAmountHint,Amount per day,,,
1,Onb,onbSecurityHeadline,"Protect
your space.",,,
1,Onb,onbSecurityNoLockLabel,No lock,,,
1,Onb,onbSecurityNoLockSub,Open straight to your journey,,,
1,Onb,onbSecurityBiometricLabel,Biometric,,,
1,Onb,onbSecurityPinLabel,4-digit PIN,,,
1,Onb,onbPinCreateHeadline,"Create
your PIN.",,,
1,Onb,onbPinConfirmHeadline,"Confirm
your PIN.",,,
1,Onb,onbPinConfirmButton,Confirm PIN,,,
1,Onb,onbPinDigitsError,Enter all 4 digits.,,,
1,Onb,onbPinMismatchError,PINs don't match. Try again.,,,
1,Onb,onbNotifHeadline,"Daily
support.",,,
1,Onb,onbNotifMorningLabel,Morning motivation,,,
1,Onb,onbNotifMorningSub,A daily affirmation to start strong,,,
1,Onb,onbNotifEveningLabel,Evening check-in,,,
1,Onb,onbNotifEveningSub,An evening reminder to reflect,,,
1,Onb,onbNotifMilestonesLabel,Milestone alerts,,,
1,Onb,onbNotifMorningTime,Morning time,,,
1,Onb,onbNotifEveningTime,Evening time,,,
1,Onb,onbFinishReadyWithName,"You're ready, {name}! 🌿",{name},,
